ESTACIO,CODI_CONTAMINANT,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,DATA
4,12,110.0,70.0,32.0,16.0,15.0,9.0,11.0,20.0,14.0,15.0,17.0,15.0,15.0,14.0,16.0,13.0,17.0,21.0,24.0,38.0,50.0,47.0,60.0,81.0,2019-04-07
4,12,57.0,52.0,47.0,38.0,35.0,45.0,77.0,143.0,180.0,208.0,159.0,63.0,76.0,47.0,36.0,39.0,39.0,48.0,79.0,52.0,57.0,73.0,57.0,73.0,2019-04-08
4,12,61.0,71.0,55.0,54.0,42.0,44.0,71.0,120.0,156.0,150.0,30.0,31.0,24.0,18.0,23.0,19.0,28.0,18.0,39.0,73.0,93.0,65.0,67.0,68.0,2019-04-09
4,12,52.0,57.0,35.0,22.0,23.0,14.0,24.0,80.0,83.0,68.0,50.0,49.0,69.0,93.0,82.0,44.0,43.0,52.0,42.0,102.0,66.0,72.0,85.0,115.0,2019-04-10
4,12,93.0,77.0,63.0,53.0,27.0,20.0,29.0,58.0,60.0,55.0,49.0,39.0,32.0,26.0,28.0,40.0,33.0,31.0,26.0,34.0,27.0,35.0,35.0,40.0,2019-04-11
4,12,65.0,72.0,73.0,69.0,51.0,25.0,24.0,46.0,58.0,56.0,46.0,50.0,45.0,57.0,45.0,39.0,34.0,36.0,33.0,31.0,21.0,22.0,23.0,27.0,2019-04-12
4,12,27.0,24.0,30.0,63.0,54.0,43.0,45.0,60.0,65.0,56.0,35.0,34.0,27.0,19.0,32.0,24.0,27.0,21.0,23.0,26.0,58.0,47.0,48.0,36.0,2019-04-13
4,12,73.0,100.0,118.0,75.0,69.0,49.0,40.0,58.0,61.0,64.0,53.0,15.0,10.0,9.0,12.0,7.0,9.0,9.0,11.0,10.0,12.0,15.0,13.0,12.0,2019-04-14
4,12,23.0,45.0,47.0,56.0,38.0,52.0,83.0,105.0,71.0,69.0,19.0,19.0,23.0,20.0,16.0,14.0,12.0,14.0,18.0,17.0,21.0,16.0,12.0,12.0,2019-04-15
4,12,35.0,54.0,40.0,39.0,52.0,64.0,62.0,88.0,115.0,103.0,61.0,19.0,17.0,33.0,11.0,41.0,17.0,23.0,29.0,20.0,19.0,12.0,11.0,12.0,2019-04-16
4,12,10.0,10.0,17.0,52.0,40.0,45.0,69.0,114.0,138.0,100.0,34.0,24.0,18.0,14.0,12.0,15.0,12.0,18.0,15.0,17.0,17.0,17.0,10.0,9.0,2019-04-17
4,12,8.0,6.0,8.0,5.0,5.0,10.0,21.0,28.0,32.0,24.0,21.0,21.0,21.0,17.0,12.0,11.0,12.0,10.0,14.0,11.0,13.0,14.0,13.0,12.0,2019-04-18
4,12,11.0,16.0,22.0,17.0,5.0,11.0,9.0,9.0,10.0,13.0,22.0,19.0,10.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,14.0,20.0,10.0,26.0,2019-04-19
4,12,34.0,38.0,36.0,25.0,37.0,31.0,22.0,27.0,43.0,34.0,21.0,15.0,15.0,14.0,29.0,14.0,30.0,36.0,32.0,22.0,16.0,15.0,12.0,9.0,2019-04-20
4,12,11.0,8.0,7.0,9.0,11.0,13.0,15.0,7.0,8.0,15.0,18.0,11.0,8.0,11.0,9.0,7.0,7.0,8.0,8.0,11.0,16.0,13.0,12.0,11.0,2019-04-21
4,12,16.0,7.0,10.0,9.0,12.0,9.0,10.0,8.0,19.0,14.0,18.0,22.0,20.0,22.0,25.0,13.0,15.0,15.0,14.0,16.0,16.0,15.0,11.0,9.0,2019-04-22
4,12,9.0,18.0,30.0,29.0,30.0,42.0,76.0,109.0,149.0,171.0,107.0,110.0,48.0,62.0,45.0,40.0,39.0,43.0,42.0,65.0,54.0,49.0,37.0,38.0,2019-04-23
4,12,53.0,26.0,26.0,14.0,16.0,22.0,47.0,70.0,50.0,54.0,45.0,59.0,58.0,58.0,41.0,37.0,42.0,36.0,37.0,41.0,49.0,46.0,50.0,35.0,2019-04-24
4,12,38.0,27.0,27.0,28.0,22.0,28.0,24.0,56.0,92.0,67.0,57.0,57.0,72.0,49.0,34.0,36.0,35.0,61.0,61.0,63.0,39.0,75.0,45.0,27.0,2019-04-25
4,12,21.0,18.0,21.0,15.0,9.0,10.0,22.0,28.0,37.0,36.0,32.0,53.0,46.0,32.0,22.0,21.0,17.0,17.0,18.0,19.0,19.0,23.0,23.0,30.0,2019-04-26
4,12,52.0,82.0,76.0,81.0,74.0,60.0,41.0,63.0,61.0,51.0,32.0,32.0,31.0,28.0,29.0,23.0,20.0,25.0,20.0,23.0,30.0,28.0,25.0,20.0,2019-04-27
4,12,31.0,31.0,45.0,75.0,88.0,82.0,59.0,26.0,77.0,26.0,21.0,30.0,72.0,97.0,3.0,2.0,11.0,21.0,21.0,38.0,29.0,15.0,19.0,1.0,2019-04-28
4,12,10.0,6.0,7.0,7.0,9.0,14.0,27.0,50.0,87.0,87.0,101.0,87.0,77.0,40.0,31.0,24.0,23.0,35.0,62.0,48.0,47.0,47.0,35.0,33.0,2019-04-29
4,12,26.0,38.0,30.0,28.0,30.0,35.0,55.0,68.0,108.0,85.0,76.0,41.0,37.0,30.0,37.0,38.0,56.0,57.0,47.0,52.0,46.0,41.0,33.0,29.0,2019-04-30
42,7,2.0,3.0,3.0,2.0,2.0,6.0,10.0,31.0,61.0,55.0,19.0,7.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2019-04-02
42,7,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2019-04-03
42,7,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2019-04-04
42,7,2.0,2.0,2.0,2.0,2.0,2.0,11.0,37.0,79.0,67.0,22.0,26.0,9.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2019-04-05
42,7,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2019-04-06
42,7,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2019-04-07
42,7,2.0,2.0,2.0,3.0,4.0,5.0,10.0,18.0,15.0,5.0,4.0,9.0,13.0,7.0,104.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2019-04-08
42,7,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,13.0,9.0,14.0,3.0,5.0,4.0,4.0,5.0,2.0,7.0,3.0,3.0,5.0,6.0,22.0,14.0,2019-04-09
42,7,9.0,7.0,3.0,2.0,1.0,1.0,1.0,3.0,8.0,11.0,10.0,7.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,2019-04-10
42,7,4.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,7.0,12.0,5.0,5.0,3.0,5.0,10.0,7.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2019-04-11
